PKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2008-8-1,20,18,18,19,18,18,98,96,95,,,,4.0,1.3,0.0,6,4,,0.0,8,,-1
2008-8-2,21,18,18,20,18,16,96,93,90,,,,4.0,1.0,0.0,9,2,,28.0,8,Snow,-1
2008-8-3,20,17,16,20,18,16,96,94,92,,,,4.0,1.0,0.0,176,83,,145.0,8,Rain-Thunderstorm,-1
2008-8-4,20,19,18,19,18,16,95,90,86,,,,4.0,1.0,0.0,6,4,,8.0,8,Fog,-1
2008-8-5,18,17,16,16,16,16,92,91,90,,,,4.0,2.0,0.0,9,4,,9.0,8,Rain,-1
2008-8-6,24,20,16,19,16,14,94,84,67,,,,10.0,4.5,0.1,9,4,,0.0,8,,-1
2008-8-7,22,18,18,19,18,16,95,88,78,,,,4.0,1.4,0.1,6,1,,0.0,8,,-1
2008-8-8,23,20,18,20,18,17,96,88,80,,,,4.0,3.0,0.1,9,2,,10.0,8,Rain,-1
2008-8-9,20,18,18,18,18,18,100,97,89,,,,10.0,2.5,0.1,0,0,,21.0,8,Fog-Rain,-1
2008-8-10,23,20,18,19,17,15,89,79,62,,,,10.0,4.5,0.1,6,6,,4.0,8,,-1
2008-8-11,23,19,17,18,16,15,85,77,63,,,,10.0,7.0,4.0,6,5,,6.0,,,-1
2008-8-12,21,19,18,17,17,16,91,83,72,,,,10.0,6.0,4.0,9,3,,14.0,8,Rain-Thunderstorm,-1
2008-8-13,23,19,16,18,15,13,88,74,66,,,,10.0,4.6,0.5,9,6,,0.0,,Fog,-1
2008-8-14,20,18,17,18,17,15,91,87,80,,,,4.0,2.0,0.1,9,7,,16.0,8,,-1
2008-8-15,21,19,16,19,17,16,92,86,78,,,,10.0,7.0,4.0,9,2,,0.0,,,-1
2008-8-16,21,18,16,17,16,14,83,82,80,,,,10.0,4.5,0.1,4,1,,3.0,8,Fog,-1
2008-8-17,22,18,15,19,16,13,88,81,73,,,,10.0,4.5,0.1,9,2,,0.0,8,,-1
2008-8-18,23,20,16,20,16,11,88,71,58,,,,10.0,7.0,4.0,9,6,,0.0,,,-1
2008-8-19,24,17,16,18,15,10,90,68,53,,,,10.0,6.0,4.0,9,4,,0.0,,,-1
2008-8-20,20,18,17,18,16,15,85,82,78,,,,10.0,6.0,4.0,6,4,,0.0,,,-1
2008-8-21,22,20,18,19,16,14,91,76,58,,,,10.0,6.0,0.0,6,4,,40.0,8,,-1
2008-8-22,22,19,16,19,16,13,83,79,75,,,,10.0,4.5,0.0,6,3,,0.0,8,Rain-Thunderstorm,-1
2008-8-23,22,20,18,19,16,14,86,79,74,,,,10.0,4.5,0.1,6,5,,0.0,8,Fog,-1
2008-8-24,22,20,18,20,18,16,90,84,77,,,,4.0,2.2,0.5,6,3,,0.0,8,Thunderstorm,-1
2008-8-25,24,20,17,20,17,14,80,77,74,,,,4.0,3.5,2.0,6,3,,0.0,,Fog,-1
2008-8-26,24,21,18,19,17,15,78,72,58,,,,10.0,5.0,2.0,0,0,,0.0,,,-1
2008-8-27,25,21,18,18,15,14,74,65,59,,,,10.0,6.0,2.0,0,0,,0.0,,,-1
2008-8-28,24,22,19,17,16,15,72,63,58,,,,10.0,7.3,2.0,4,1,,0.0,,,-1
2008-8-29,24,20,16,20,16,12,82,73,62,,,,10.0,4.5,0.2,6,4,,4.0,8,,-1
2008-8-30,22,16,16,17,15,14,86,83,80,,,,10.0,6.0,4.0,6,2,,2.0,8,Rain-Hail-Thunderstorm,-1
2008-8-31,18,16,14,15,13,12,80,75,72,,,,10.0,7.0,4.0,6,3,,0.0,8,,-1
