
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2003-3-1,19,17,15,16,14,12,94,85,68,1012,1009,1006,7,5,2,101,29,,0.00,6,Rain-Thunderstorm,45
2003-3-2,22,18,14,17,13,10,88,77,64,1009,1006,1005,10,7,5,24,10,,0.00,3,,298
2003-3-3,17,13,11,11,4,-3,88,56,26,1015,1010,1007,7,6,5,27,10,,0.00,0,,180
2003-3-4,18,13,8,6,2,-5,81,51,22,1065,1018,1015,7,6,5,34,8,,0.00,0,,289
2003-3-5,21,14,8,8,4,0,77,53,28,1016,1014,1012,8,6,6,23,8,,0.00,0,,273
2003-3-6,60,34,8,9,6,0,82,56,5,1064,1016,1013,8,6,3,16,3,,0.00,0,,280
2003-3-7,24,18,13,9,6,1,77,47,22,1015,1014,1013,8,6,5,27,10,,0.00,0,,261
2003-3-8,25,19,14,10,7,2,59,46,22,1014,1012,1010,10,7,5,23,10,,0.00,4,,275
2003-3-9,24,19,14,13,11,9,82,63,38,1013,1012,1011,6,5,2,19,3,,0.00,3,,49
2003-3-10,24,19,14,15,12,10,77,66,47,1013,1011,1009,7,6,6,23,11,,0.00,2,,8
2003-3-11,26,20,14,15,11,8,77,59,38,1011,1010,1009,8,6,5,14,8,,0.00,1,,347
2003-3-12,27,21,15,15,12,8,82,60,32,1062,1017,1010,8,6,2,21,3,,0.00,0,Tornado,330
2003-3-13,28,21,14,14,11,6,88,56,25,1017,1015,1014,7,6,5,13,6,,0.00,2,,288
2003-3-14,27,21,16,15,12,8,77,51,5,1066,1017,1012,7,6,3,14,5,,0.00,4,,262
2003-3-15,29,22,16,15,13,8,83,56,27,1061,1012,1007,8,6,3,13,3,,0.00,2,,77
2003-3-16,28,22,17,17,15,12,83,63,42,1010,1008,1007,7,5,2,10,2,,0.00,1,,343
2003-3-17,27,21,16,14,11,8,77,54,30,1015,1013,1011,8,6,5,16,10,,0.00,0,,339
2003-3-18,28,21,15,14,12,10,82,56,32,1016,1014,1013,10,7,4,13,2,,0.00,1,,332
2003-3-19,29,22,16,14,10,6,82,50,23,1015,1013,1012,8,6,5,19,5,,0.00,0,,281
2003-3-20,30,23,16,15,11,7,83,52,25,1014,1012,1010,8,7,5,24,6,,0.00,0,,268
2003-3-21,31,26,21,15,12,7,60,44,25,1015,1010,1008,8,7,6,19,10,,0.00,1,,270
2003-3-22,29,23,17,19,16,14,88,67,45,1015,1013,1010,7,6,5,14,2,,0.00,3,,22
2003-3-23,30,24,19,16,13,10,83,51,37,1063,1016,1012,7,6,5,29,13,,0.00,4,,299
2003-3-24,30,23,16,15,13,11,82,56,31,1015,1013,1011,7,6,5,19,6,,0.00,2,,276
2003-3-25,30,24,19,18,16,13,83,59,35,1013,1011,1009,8,6,5,11,2,,0.00,5,,278
2003-3-26,31,24,18,17,14,12,83,55,6,1015,1013,1011,8,6,3,16,2,,0.00,2,,287
2003-3-27,32,24,17,17,15,11,94,61,29,1013,1011,1009,7,6,2,13,3,,0.00,2,,238
2003-3-28,28,23,18,20,17,15,88,71,51,1011,1008,1006,7,5,4,34,6,,0.00,4,Rain-Thunderstorm,83
2003-3-29,36,27,18,18,16,14,88,59,5,1009,1007,1005,8,7,5,23,14,,0.00,4,Rain-Thunderstorm,44
2003-3-30,26,22,18,18,16,13,94,70,44,1012,1008,1000,10,7,3,34,8,,0.00,4,Rain-Thunderstorm,2
2003-3-31,30,23,17,17,15,13,88,63,35,1020,1011,1009,8,6,0,19,6,,0.00,1,,303
<!-- 0.190:0 -->
