
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2009-2-1,23,14,5,6,4,1,76,54,23,1017,1015,1014,6,5,4,16,8,,0.00,0,,273
2009-2-2,24,14,5,8,5,0,93,62,27,1018,1016,1014,4,4,3,11,3,,0.00,2,,286
2009-2-3,25,17,8,9,7,3,87,60,24,1018,1016,1015,5,4,2,11,5,,0.00,1,,262
2009-2-4,24,16,7,11,9,5,87,65,34,1017,1015,1013,4,3,1,13,3,,0.00,1,Rain,34
2009-2-5,21,17,14,12,11,8,82,68,49,1015,1014,1012,4,3,1,29,11,,0.00,3,Rain-Thunderstorm,153
2009-2-6,22,16,10,11,9,6,94,66,49,1020,1017,1014,7,6,3,21,8,,0.00,1,Rain,349
2009-2-7,22,14,8,6,3,-2,81,53,20,1020,1018,1016,6,5,4,16,11,,0.00,1,,293
2009-2-8,23,13,4,6,3,0,87,57,23,1020,1018,1016,5,4,1,11,3,,0.00,0,,13
2009-2-9,21,13,7,10,7,4,87,64,33,1019,1017,1014,5,4,3,21,2,,0.00,4,,15
2009-2-10,15,13,11,11,9,8,88,81,72,1017,1014,1011,5,4,1,23,10,,0.00,7,Rain-Thunderstorm,83
2009-2-11,20,16,11,10,9,8,88,74,49,1017,1016,1014,6,5,4,13,6,,0.00,3,,348
2009-2-12,22,16,9,11,9,7,94,74,46,1018,1016,1013,4,3,2,13,3,,0.00,1,,308
2009-2-13,23,14,7,13,10,6,94,75,41,1013,1010,1007,4,3,1,32,8,,0.00,3,Rain-Thunderstorm,136
2009-2-14,22,16,10,12,10,8,88,73,46,1017,1015,1010,5,4,4,74,13,,0.00,2,Thunderstorm,290
2009-2-15,21,14,8,9,7,0,88,65,25,1017,1016,1015,7,5,4,13,8,,0.00,0,,283
2009-2-16,23,14,6,8,6,-1,87,61,22,1018,1016,1014,6,4,2,14,3,,0.00,1,,263
2009-2-17,24,16,7,8,5,-1,93,61,19,1018,1016,1015,5,4,3,13,2,,0.00,1,,288
2009-2-18,25,16,7,9,6,1,87,57,25,1018,1016,1015,6,5,4,23,6,,0.00,0,,294
2009-2-19,25,18,10,9,6,1,72,49,22,1015,1014,1011,7,5,4,21,10,,0.00,2,,290
2009-2-20,26,19,12,12,9,7,82,60,32,1020,1017,1013,7,5,3,14,8,,0.00,2,,305
2009-2-21,26,19,12,11,8,1,82,56,21,1020,1017,1015,8,5,4,27,11,,0.00,2,Rain,333
2009-2-22,27,19,11,11,6,1,76,49,18,1015,1011,1008,6,5,3,16,8,,0.00,3,,324
2009-2-23,25,18,11,12,9,7,88,62,34,1012,1010,1008,5,4,2,10,3,,0.00,3,,31
2009-2-24,25,18,12,12,9,4,82,63,26,1012,1010,1008,5,4,4,16,6,,0.00,3,Rain,324
2009-2-25,26,18,11,12,4,-7,88,48,11,1013,1011,1009,7,5,3,119,11,,0.00,1,,327
2009-2-26,26,19,12,8,2,-5,72,39,14,1013,1011,1010,8,6,4,21,8,,0.00,1,,315
2009-2-27,26,17,9,6,3,-4,76,45,14,1015,1013,1012,6,5,3,23,6,,0.00,0,,301
2009-2-28,26,18,10,7,1,-6,71,40,12,1014,1013,1011,6,5,4,27,11,,0.00,1,,285
<!-- 0.182:0 -->
