
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2004-12-1,22,16,11,13,11,9,94,72,50,1020,1017,1014,6,5,4,13,8,,0.00,1,,15
2004-12-2,23,17,10,13,11,8,88,74,41,1023,1021,1020,6,4,1,11,3,,0.00,0,,358
2004-12-3,23,17,10,11,8,6,94,66,33,1024,1022,1020,4,4,2,14,6,,0.00,1,,312
2004-12-4,23,16,9,9,7,5,94,64,33,1022,1020,1018,6,4,2,16,6,32,0.00,1,,283
2004-12-5,24,16,8,7,4,0,87,51,21,1020,1017,1016,5,4,1,11,6,,0.00,0,,273
2004-12-6,24,17,9,7,4,-2,82,48,18,1020,1018,1016,5,4,3,13,3,,0.00,4,,252
2004-12-7,24,16,8,7,6,0,93,62,21,1023,1021,1019,6,4,1,10,2,,0.00,2,,132
2004-12-8,22,13,6,9,7,4,93,68,31,1024,1021,1019,4,3,0,13,2,,0.00,1,Fog,297
2004-12-9,23,14,6,7,4,-2,93,55,19,1020,1017,1015,6,4,1,16,6,,0.00,3,,269
2004-12-10,24,14,6,7,5,0,87,61,21,1020,1018,1016,5,3,1,11,2,,0.00,1,,261
2004-12-11,24,14,6,10,7,4,87,70,31,1023,1020,1019,4,2,1,8,0,,0.00,2,,25
2004-12-12,26,16,6,10,7,4,93,68,28,1024,1021,1020,4,3,1,10,2,,0.00,1,Fog,323
2004-12-13,24,16,7,9,7,5,93,64,29,1022,1019,1017,5,3,1,14,3,,0.00,1,,272
2004-12-14,25,17,8,8,7,4,87,61,27,1017,1015,1013,5,4,2,14,5,,0.00,1,,271
2004-12-15,26,17,8,9,7,3,93,58,23,1016,1014,1013,5,4,1,14,5,,0.00,0,,284
2004-12-16,26,16,7,25,7,4,94,59,27,1017,1015,1014,5,4,2,13,5,,0.00,2,,276
2004-12-17,26,17,9,11,8,5,87,63,26,1020,1017,1016,4,3,1,10,2,,0.00,2,,144
2004-12-18,25,16,7,13,9,6,100,81,36,1019,1016,1013,4,2,0,13,3,,0.00,1,Fog,127
2004-12-19,22,16,11,12,11,8,94,78,46,1014,1009,1004,6,2,0,27,13,,0.00,5,Fog-Rain-Thunderstorm,140
2004-12-20,17,12,7,11,9,6,94,86,63,1021,1013,1009,6,2,0,16,6,,0.00,3,Fog,342
2004-12-21,20,14,8,9,8,6,94,74,46,1015,1013,1012,4,3,1,55,11,,0.00,0,Fog,323
2004-12-22,19,13,8,8,7,4,93,71,40,1015,1013,1011,5,3,1,11,5,,0.00,1,,297
2004-12-23,17,12,7,11,8,6,100,80,55,1018,1015,1013,4,2,0,11,5,,0.00,1,Fog,149
2004-12-24,16,12,8,11,9,6,100,87,63,1021,1019,1017,1,1,0,13,5,,0.00,0,Fog,298
2004-12-25,18,13,8,8,7,4,100,76,42,1024,1021,1020,4,2,0,14,5,,0.00,1,Fog,272
2004-12-26,19,11,3,6,2,-2,93,57,26,1020,1016,1014,7,5,3,24,10,,0.00,0,,269
2004-12-27,19,11,4,6,2,-5,76,52,19,1019,1016,1014,6,4,3,13,3,,0.00,3,,327
2004-12-28,19,13,7,8,6,3,87,67,35,1021,1019,1017,4,3,1,10,3,,0.00,5,,95
2004-12-29,19,10,2,7,5,1,93,74,40,1020,1018,1016,4,2,0,11,3,,0.00,4,Fog,311
2004-12-30,28,17,7,9,6,4,87,64,25,1017,1015,1013,6,4,1,14,5,,0.00,5,,303
2004-12-31,17,13,10,13,11,8,94,80,67,1014,1010,1005,4,3,2,35,14,55,0.00,7,Rain-Thunderstorm,116
<!-- 0.217:0 -->
