
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2011-5-1,41,33,26,17,14,12,54,34,20,1006,1004,1003,6,5,4,23,10,,0.00,0,,350
2011-5-2,42,33,25,18,16,12,50,35,22,1003,1002,1000,6,5,4,23,5,,0.00,1,,243
2011-5-3,43,34,27,20,16,12,51,32,17,1002,1000,998,4,4,3,13,6,,0.00,1,,173
2011-5-4,43,36,28,20,17,15,54,36,20,1005,1001,999,5,5,4,26,13,,0.00,0,,211
2011-5-5,42,33,26,21,17,10,74,44,24,1006,1004,1001,5,4,1,47,16,,0.00,3,Rain-Thunderstorm,100
2011-5-6,35,29,24,22,19,18,73,56,38,1008,1006,1004,6,5,3,39,18,,0.00,4,Thunderstorm,5
2011-5-7,37,30,24,20,17,14,73,45,25,1006,1005,1003,7,5,4,23,13,,0.00,1,,338
2011-5-8,40,33,26,21,17,14,57,39,25,1003,1002,1000,7,5,4,14,3,,0.00,0,,301
2011-5-9,42,34,27,21,16,12,61,33,17,1002,1000,999,6,5,3,26,6,,0.00,1,,338
2011-5-10,41,33,27,17,14,12,54,32,18,1003,1001,999,6,5,4,14,8,,0.00,1,,49
2011-5-11,44,36,27,16,13,10,51,27,14,1011,1000,999,6,5,4,13,6,,0.00,0,,337
2011-5-12,43,36,29,15,10,7,38,23,11,1002,1000,999,5,4,1,47,13,,0.00,1,,17
2011-5-13,36,32,28,15,11,7,39,28,17,1007,1004,1002,5,5,3,34,14,,0.00,4,Rain-Thunderstorm,335
2011-5-14,42,33,26,18,12,8,51,28,13,1004,1003,1001,6,5,4,27,8,,0.00,0,,322
2011-5-15,44,36,27,22,13,5,48,28,10,1006,1004,1002,6,5,4,14,5,,0.00,0,,237
2011-5-16,45,36,27,16,14,7,51,28,11,1008,1006,1004,6,5,3,19,6,,0.00,0,,232
2011-5-17,45,37,29,19,16,12,45,32,16,1008,1006,1005,4,4,3,19,5,,0.00,0,,208
<!-- 0.539:0 -->
