
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2007-7-1,35,31,28,26,25,23,89,73,56,998,996,995,5,4,3,29,6,,0.00,2,Rain,106
2007-7-2,35,31,28,26,24,23,89,69,52,998,996,994,5,5,4,19,10,,0.00,2,Thunderstorm,93
2007-7-3,32,29,27,25,23,21,89,73,59,998,997,995,5,5,4,23,10,,0.00,3,Thunderstorm,73
2007-7-4,33,29,26,25,23,21,84,71,55,999,997,995,6,5,4,24,10,,0.00,3,Rain,89
2007-7-5,36,31,27,26,24,23,89,64,47,997,995,993,5,5,4,13,5,,0.00,2,,135
2007-7-6,36,31,26,26,23,21,84,64,44,998,996,994,7,5,4,35,8,,0.00,1,,104
2007-7-7,37,33,29,26,24,23,79,62,47,998,996,994,6,5,4,16,8,,0.00,2,,117
2007-7-8,33,28,24,27,23,21,89,72,55,1002,999,996,6,5,4,27,14,,0.00,4,Rain-Thunderstorm,85
2007-7-9,37,31,25,24,22,21,83,63,42,1001,999,996,5,4,4,11,6,,0.00,2,,27
2007-7-10,36,31,27,26,24,23,84,67,47,999,998,995,5,4,2,14,6,,0.00,2,Rain-Thunderstorm,160
2007-7-11,36,32,28,26,25,23,84,66,47,1000,998,996,6,5,3,13,6,,0.00,1,,161
2007-7-12,38,32,27,26,24,21,79,59,44,999,996,994,7,5,4,19,8,,0.00,1,,128
2007-7-13,34,28,23,26,23,20,89,71,46,998,996,994,5,5,1,47,10,,0.00,3,Rain-Thunderstorm,85
2007-7-14,35,29,24,26,22,20,84,68,44,998,996,994,6,5,3,29,8,,0.00,3,Rain-Thunderstorm,144
2007-7-15,31,27,23,26,22,20,94,76,55,1001,998,996,6,5,3,29,10,,0.00,5,Rain-Thunderstorm,29
2007-7-16,35,29,24,24,22,21,89,67,46,1000,999,997,7,5,1,13,5,,0.00,1,,133
2007-7-17,37,31,25,26,23,22,89,66,42,1000,999,997,6,5,4,19,3,,0.00,1,Rain-Thunderstorm,146
2007-7-18,37,29,22,27,23,18,84,67,44,1002,999,997,6,5,1,29,8,,0.00,2,Rain-Thunderstorm,185
2007-7-19,36,32,28,26,23,21,89,63,44,1000,999,997,4,4,4,21,11,,0.00,2,,209
2007-7-20,35,31,27,25,23,21,89,65,46,1000,998,996,5,4,4,24,10,,0.00,2,,177
2007-7-21,36,30,25,25,24,21,100,69,47,999,997,995,5,4,1,39,11,,0.00,4,Rain-Thunderstorm,170
2007-7-22,35,29,24,25,23,21,94,74,52,1000,999,996,5,4,3,122,13,,0.00,5,Rain-Thunderstorm,87
2007-7-23,36,30,25,25,24,22,94,69,47,1003,1001,1000,6,5,3,13,5,,0.00,2,,238
2007-7-24,34,28,23,25,24,20,89,79,59,1004,1003,1000,5,4,1,52,6,,0.00,3,Rain-Thunderstorm,146
2007-7-25,36,31,26,25,24,24,94,70,53,1003,1000,997,5,4,4,11,5,,0.00,3,,154
2007-7-26,37,32,28,26,24,22,84,65,44,1000,998,996,6,5,4,19,8,,0.00,0,,204
2007-7-27,33,28,24,26,23,17,84,73,55,1000,998,997,6,5,2,27,8,,0.00,2,Rain-Thunderstorm,87
2007-7-28,36,30,25,25,23,21,89,69,44,1000,999,997,5,5,4,21,8,,0.00,2,,117
2007-7-29,35,30,25,25,23,22,83,65,47,1003,1001,999,6,5,4,19,10,,0.00,1,,120
2007-7-30,36,31,27,26,24,23,89,69,47,1005,1002,1001,4,4,2,19,6,,0.00,2,Rain-Thunderstorm,82
2007-7-31,36,30,25,26,24,22,89,70,47,1003,1001,999,5,4,3,23,6,,0.00,3,Rain-Thunderstorm,106
<!-- 0.200:0 -->
