
PKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2002-5-1,39,32,26,17,14,10,45,31,18,1004,1003,1001,10,8,6,23,13,,0.00,4,,14
2002-5-2,39,32,25,17,14,10,47,34,25,1005,1004,1002,10,7,3,32,13,,0.00,4,Rain,22
2002-5-3,40,33,26,16,11,8,42,26,15,1008,1006,1004,8,7,5,16,10,,0.00,1,,310
2002-5-4,41,34,28,15,12,7,45,27,13,1006,1003,1000,8,7,6,23,8,,0.00,2,,286
2002-5-5,43,34,26,19,16,12,54,35,18,1003,1001,998,8,6,2,11,3,,0.00,0,,247
2002-5-6,43,36,29,18,16,13,46,32,20,1001,999,997,8,6,3,29,8,,0.00,0,,21
2002-5-7,42,34,28,22,17,13,40,34,25,1003,1001,999,6,5,3,19,10,,0.00,0,,349
2002-5-8,43,36,28,21,17,12,52,36,17,1004,1002,1000,7,5,2,13,5,,0.00,0,,278
2002-5-9,45,37,29,19,16,14,48,31,17,1005,1002,1000,7,6,3,16,5,,0.00,0,,269
2002-5-10,44,36,28,20,17,13,58,35,19,1002,1000,998,8,5,3,23,6,,0.00,0,,292
2002-5-11,44,37,30,17,14,12,40,27,17,1000,996,993,8,7,6,24,13,,0.00,0,,255
2002-5-12,45,34,23,19,13,7,47,28,13,997,995,994,10,6,3,16,5,,0.00,1,,180
2002-5-13,44,36,27,24,18,12,54,36,16,999,997,996,7,6,4,24,8,,0.00,3,,102
2002-5-14,44,37,30,27,22,18,66,44,22,1001,999,996,6,5,2,37,10,,0.00,0,,105
2002-5-15,41,34,29,19,17,14,45,34,21,1004,1002,1000,7,6,4,24,13,,0.00,2,,2
2002-5-16,45,38,31,18,16,13,46,29,16,1002,1000,998,8,7,4,23,11,,0.00,0,,268
2002-5-17,45,38,31,18,16,14,43,30,18,999,997,995,8,6,4,29,10,,0.00,0,,266
2002-5-18,45,36,27,21,18,16,51,32,22,996,992,990,8,7,7,14,3,,0.00,0,,281
2002-5-19,43,36,29,21,18,14,51,35,25,998,990,988,8,6,5,34,13,,0.00,0,,275
2002-5-20,42,32,23,19,7,-2,53,26,7,995,992,990,8,6,3,16,5,,0.00,0,,205
2002-5-21,43,34,25,14,7,0,41,23,8,999,997,995,8,7,5,19,8,,0.00,0,,302
2002-5-22,44,34,24,16,12,8,47,27,12,1002,1000,998,8,6,2,13,2,,0.00,0,,270
2002-5-23,45,37,28,18,12,7,37,24,11,1002,1000,999,8,6,4,14,6,,0.00,1,,265
2002-5-24,45,37,29,18,14,8,45,26,11,1003,1000,998,10,6,2,40,5,,0.00,1,,267
2002-5-25,44,37,29,17,14,12,43,27,16,1001,999,997,8,5,1,42,10,,0.00,0,,209
2002-5-26,38,31,24,24,19,12,69,48,33,1004,1000,998,6,5,3,34,18,,0.00,0,,106
2002-5-27,39,33,27,27,24,20,79,59,45,1001,998,994,5,4,1,101,11,,0.00,2,Rain-Thunderstorm,111
2002-5-28,33,28,23,26,21,12,88,68,50,1004,1002,998,10,8,4,21,14,,0.00,6,Rain-Thunderstorm,122
2002-5-29,30,24,19,21,18,12,94,68,39,1008,1005,1002,8,7,1,55,21,,0.00,4,Rain-Thunderstorm,83
2002-5-30,34,29,24,22,20,19,83,61,41,1007,1005,1003,8,6,1,13,3,,0.00,0,,159
2002-5-31,36,30,25,23,21,17,83,57,37,1007,1004,1002,8,6,1,47,6,,0.00,1,Thunderstorm,110
<!-- 0.188:0 -->
