
PKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2009-9-1,33,28,24,24,22,21,89,73,55,1009,1007,1004,7,5,4,13,8,,0.00,3,Thunderstorm,93
2009-9-2,34,29,25,24,23,22,89,73,49,1006,1004,1000,6,4,3,16,3,,0.00,3,Rain-Thunderstorm,92
2009-9-3,29,24,21,25,21,18,94,82,65,1007,1003,1001,5,4,2,34,13,,0.00,5,Rain-Thunderstorm,92
2009-9-4,29,24,20,21,18,16,88,74,45,1006,1005,1002,5,4,4,10,6,,0.00,2,,358
2009-9-5,33,27,22,22,20,18,88,67,43,1004,1002,1000,6,4,2,10,3,,0.00,1,,89
2009-9-6,34,28,23,23,20,16,89,65,34,1003,1002,1000,6,5,2,14,3,,0.00,0,,204
2009-9-7,34,28,23,22,20,17,83,65,40,1005,1003,1001,6,5,4,16,5,,0.00,0,,267
2009-9-8,35,29,23,23,21,16,89,64,34,1005,1004,1003,6,5,4,14,6,,0.00,0,,271
2009-9-9,31,27,24,22,21,20,89,73,52,1007,1005,1004,7,5,4,19,10,,0.00,1,,118
2009-9-10,34,28,23,22,21,20,83,71,46,1005,1004,1002,6,4,4,23,8,,0.00,1,Thunderstorm,84
2009-9-11,31,27,23,22,21,19,88,77,49,1008,1006,1005,6,5,4,14,8,,0.00,2,,111
2009-9-12,32,27,22,23,21,19,88,71,49,1012,1009,1007,6,5,4,11,5,,0.00,2,,171
2009-9-13,35,29,23,24,22,18,89,65,36,1010,1008,1006,6,5,4,13,5,,0.00,1,,217
2009-9-14,36,30,24,23,19,13,89,64,25,1009,1007,1005,6,5,4,16,5,,0.00,0,,164
2009-9-15,35,28,21,22,18,16,88,62,34,1006,1005,1003,6,5,4,11,3,,0.00,0,,113
2009-9-16,35,28,21,22,17,11,83,51,26,1008,1006,1004,6,5,4,19,5,,0.00,1,,289
2009-9-17,36,28,21,19,17,14,73,50,27,1009,1008,1006,6,5,4,14,8,,0.00,0,,264
2009-9-18,37,30,23,22,19,16,83,57,29,1010,1008,1007,6,5,4,16,6,,0.00,0,,258
2009-9-19,37,30,24,23,21,18,83,60,32,1009,1007,1006,6,5,2,19,5,,0.00,0,,157
2009-9-20,36,30,25,23,21,18,83,63,34,1008,1006,1005,6,5,2,16,8,,0.00,0,,131
2009-9-21,36,30,25,24,22,12,83,61,23,1009,1006,1002,6,5,3,19,8,,0.00,0,,111
2009-9-22,36,31,26,25,23,20,89,66,39,1008,1006,1004,6,4,2,14,8,,0.00,0,,134
2009-9-23,37,31,26,25,23,21,89,68,39,1007,1005,1004,6,5,3,14,8,,0.00,1,,138
2009-9-24,36,31,26,24,23,19,89,69,39,1008,1006,1004,6,4,3,14,6,,0.00,0,,156
2009-9-25,36,30,25,23,21,20,83,62,39,1006,1005,1004,6,5,4,21,6,,0.00,0,,173
2009-9-26,38,31,24,22,19,13,83,59,22,1009,1007,1005,7,5,4,14,8,,0.00,0,,178
2009-9-27,37,29,22,20,17,13,83,49,24,1009,1007,1001,6,5,4,23,6,,0.00,0,,180
2009-9-28,37,30,23,20,19,17,78,55,32,1009,1007,1005,6,5,4,16,5,,0.00,0,,269
2009-9-29,38,30,23,19,17,13,78,52,22,1009,1007,1005,7,5,4,10,5,,0.00,0,,215
2009-9-30,36,29,22,20,18,14,78,60,27,1008,1006,1005,6,4,4,13,5,,0.00,0,,145
<!-- 0.291:0 -->
