
PKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2009-6-1,37,30,23,18,17,14,73,50,29,1005,1002,1000,7,5,4,27,13,,0.00,2,Rain-Thunderstorm,92
2009-6-2,41,33,26,19,16,8,65,37,20,1002,1000,997,6,5,0,142,10,,0.00,1,Rain-Thunderstorm,263
2009-6-3,43,34,26,17,11,6,47,27,11,1002,1000,999,7,5,4,21,13,,0.00,2,,288
2009-6-4,44,37,29,19,11,6,55,21,11,999,997,995,6,5,3,13,10,,0.00,0,,252
2009-6-5,41,34,29,19,13,8,43,29,15,998,996,995,5,4,3,35,11,,0.00,2,Thunderstorm,101
2009-6-6,41,33,27,15,7,-14,48,25,4,997,995,994,6,4,4,26,14,,0.00,1,,155
2009-6-7,40,32,25,11,5,-3,34,21,7,999,998,996,7,5,4,26,16,,0.00,0,,324
2009-6-8,37,29,22,10,7,3,46,27,12,1001,999,997,7,5,4,32,5,,0.00,0,,2
2009-6-9,42,32,23,20,5,-1,39,20,7,1002,1001,1000,6,5,4,19,11,,0.00,0,,300
2009-6-10,43,33,24,12,7,0,47,22,7,1002,1001,999,6,5,4,14,3,,0.00,0,,110
2009-6-11,42,34,28,13,9,4,35,21,10,1003,1001,999,6,5,3,26,6,,0.00,0,,174
2009-6-12,42,36,30,10,7,4,26,18,10,1003,1001,999,7,5,4,26,13,,0.00,1,Thunderstorm,338
2009-6-13,41,33,26,12,8,5,36,23,11,1005,1003,1001,5,5,3,32,10,,0.00,3,Rain-Thunderstorm,69
2009-6-14,38,32,26,14,11,7,47,29,16,1007,1004,1002,6,5,1,47,16,,0.00,2,Thunderstorm,268
2009-6-15,36,28,21,18,14,12,83,38,23,1004,1002,1000,5,4,2,27,13,,0.00,4,Rain-Thunderstorm,274
2009-6-16,31,26,21,18,17,4,83,59,21,1006,1004,1002,6,5,4,24,11,,0.00,4,Rain-Thunderstorm,36
2009-6-17,36,29,22,17,14,9,73,45,20,1006,1004,1002,6,5,4,16,6,,0.00,1,,312
2009-6-18,40,32,24,17,13,10,65,35,16,1005,1002,1000,6,5,1,39,6,,0.00,1,,290
2009-6-19,40,32,24,14,11,6,50,29,13,1004,1002,1000,6,5,4,21,11,,0.00,1,,266
2009-6-20,42,33,26,22,11,5,58,28,11,1002,1001,1000,7,6,4,21,8,,0.00,0,,272
2009-6-21,43,34,26,13,8,-1,42,22,6,1002,1001,998,7,6,4,23,11,,0.00,0,,291
2009-6-22,44,34,26,13,8,2,42,21,8,1001,999,998,7,5,4,16,8,,0.00,0,,282
2009-6-23,45,37,28,13,9,2,37,21,7,1001,998,997,7,5,4,19,11,,0.00,1,,259
2009-6-24,42,34,28,18,11,6,41,23,13,1001,999,998,5,4,4,23,14,,0.00,2,,252
2009-6-25,40,34,29,18,16,12,51,37,20,1001,999,998,6,5,4,26,16,,0.00,4,,251
2009-6-26,44,36,27,18,16,13,58,34,17,1000,998,996,7,5,4,23,10,,0.00,0,,242
2009-6-27,44,37,29,18,16,10,48,29,13,998,996,994,7,6,4,19,10,,0.00,0,,234
2009-6-28,46,39,32,19,17,12,46,30,14,997,995,992,7,6,5,23,13,,0.00,0,,237
2009-6-29,44,37,28,21,19,16,55,38,22,998,995,993,6,4,1,52,14,,0.00,2,,222
2009-6-30,36,32,28,23,19,16,66,51,32,1001,998,996,6,5,3,35,19,,0.00,3,Rain,117
<!-- 0.207:0 -->
