
PKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2009-8-1,35,31,27,27,24,22,84,70,52,1000,999,998,4,4,3,13,6,,0.00,3,Rain-Thunderstorm,113
2009-8-2,37,32,27,26,24,22,84,66,44,1001,1000,998,6,5,4,14,6,,0.00,2,Thunderstorm,192
2009-8-3,36,32,29,26,24,23,84,70,50,1000,999,997,4,4,4,16,6,,0.00,2,Thunderstorm,132
2009-8-4,37,32,28,29,24,22,84,65,44,999,998,996,6,4,4,21,10,,0.00,3,,186
2009-8-5,38,33,29,27,25,23,89,66,42,998,996,995,4,4,3,19,8,,0.00,2,,193
2009-8-6,39,34,29,26,23,21,84,59,35,999,996,995,6,5,4,23,13,,0.00,2,Thunderstorm,206
2009-8-7,37,31,26,26,23,20,78,59,44,1001,999,997,5,4,3,29,10,,0.00,3,Thunderstorm,5
2009-8-8,39,33,28,26,24,20,84,59,33,1000,999,997,6,4,4,14,6,,0.00,2,Rain-Thunderstorm,132
2009-8-9,39,33,28,25,23,20,84,57,33,1000,998,996,6,5,4,16,6,,0.00,3,,249
2009-8-10,39,34,29,25,23,20,74,53,35,1001,999,997,5,4,4,172,11,,0.00,1,,235
2009-8-11,39,33,28,26,23,-25,84,61,4,1011,1003,1000,6,5,4,23,10,,0.00,2,Rain-Thunderstorm,145
2009-8-12,39,33,28,27,24,20,89,63,35,1004,1002,999,6,4,3,13,6,,0.00,2,,205
2009-8-13,40,34,29,25,22,20,74,50,33,1002,1000,998,6,5,4,21,10,,0.00,1,,236
2009-8-14,38,33,28,25,21,20,70,52,35,1002,1001,999,6,5,4,19,11,,0.00,2,,196
2009-8-15,36,31,26,28,24,21,89,70,41,1004,1002,1000,4,4,3,16,11,,0.00,4,Rain-Thunderstorm,135
2009-8-16,32,28,25,25,23,22,89,75,59,1005,1003,1002,5,5,4,14,11,,0.00,3,,104
2009-8-17,31,28,25,24,23,22,89,78,58,1006,1004,1002,4,4,3,63,10,,0.00,4,Rain-Thunderstorm,166
2009-8-18,33,29,26,24,23,21,89,73,52,1005,1004,1003,6,5,4,23,6,,0.00,3,Rain,106
2009-8-19,31,27,23,21,20,19,88,70,51,1040,1007,1003,7,6,4,23,13,,0.00,3,Rain-Thunderstorm,89
2009-8-20,35,29,24,23,21,19,83,63,39,1007,1005,1003,7,6,4,14,6,,0.00,1,,93
2009-8-21,30,26,22,23,21,18,88,73,51,1008,1004,1002,6,4,1,37,10,,0.00,3,Rain-Thunderstorm,97
2009-8-22,34,29,24,24,22,20,89,68,46,1005,1003,1000,5,4,1,11,3,,0.00,2,,87
2009-8-23,35,30,25,24,22,12,89,64,37,1004,1002,1000,6,5,4,35,8,,0.00,2,Rain-Thunderstorm,128
2009-8-24,35,29,24,24,21,19,83,63,44,1005,1003,1002,5,5,3,23,6,,0.00,3,Rain,132
2009-8-25,35,31,27,25,23,20,84,69,44,1007,1005,1003,6,5,3,13,6,,0.00,1,Thunderstorm,131
2009-8-26,32,28,24,25,22,0,89,75,13,1007,1005,1003,5,4,2,29,8,,0.00,2,Rain-Thunderstorm,70
2009-8-27,34,29,24,24,22,21,89,68,49,1007,1005,1002,5,5,3,63,6,,0.00,2,,46
2009-8-28,35,30,26,24,23,20,83,66,44,1008,1006,1004,6,5,4,11,5,,0.00,1,,120
2009-8-29,35,30,26,24,23,20,89,66,46,1008,1006,1003,5,5,4,11,6,,0.00,2,,122
2009-8-30,35,30,25,24,23,21,89,74,49,1008,1006,1000,6,4,2,29,8,,0.00,2,Rain,112
2009-8-31,25,24,23,23,22,20,89,85,74,1009,1007,1006,6,5,1,29,11,,0.00,6,Rain-Thunderstorm,68
<!-- 0.210:0 -->
