
PKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2002-4-1,32,26,19,19,17,15,83,60,43,1010,1008,1006,8,7,6,19,10,,0.00,1,,129
2002-4-2,33,27,20,18,15,10,83,53,29,1011,1009,1007,8,7,6,23,6,,0.00,0,,315
2002-4-3,34,27,20,12,10,7,53,37,19,1009,1007,1006,10,7,5,16,6,,0.00,1,,281
2002-4-4,36,26,17,17,13,10,73,47,22,1009,1007,1005,8,6,4,10,3,,0.00,2,,286
2002-4-5,35,27,19,21,17,14,78,61,34,1009,1006,1005,7,6,6,21,8,,0.00,4,,110
2002-4-6,33,27,20,19,17,15,83,60,36,1012,1009,1006,10,7,2,37,13,,0.00,5,Rain-Thunderstorm,333
2002-4-7,27,23,20,18,16,14,83,67,51,1015,1012,1009,10,8,6,29,11,,0.00,4,Rain-Thunderstorm,313
2002-4-8,32,26,19,17,14,11,83,54,27,1013,1011,1008,10,8,8,19,10,,0.00,2,,281
2002-4-9,34,27,19,15,13,9,68,44,23,1010,1008,1006,8,7,4,19,5,,0.00,0,,246
2002-4-10,35,28,20,15,13,11,64,44,26,1008,1006,1004,8,7,7,19,5,,0.00,1,,270
2002-4-11,37,27,18,17,14,11,73,45,24,1007,1006,1004,8,7,4,21,3,,0.00,0,,244
2002-4-12,39,28,18,17,15,13,73,48,25,1010,1008,1005,8,6,0,19,3,,0.00,1,,236
2002-4-13,39,30,21,19,16,13,65,45,27,1011,1008,1007,8,7,5,13,3,,0.00,3,,185
2002-4-14,37,29,22,19,17,14,69,49,29,1008,1006,1004,8,6,3,10,2,,0.00,5,,23
2002-4-15,38,30,23,22,19,17,69,53,37,1007,1005,1003,8,6,3,19,5,,0.00,3,,186
2002-4-16,36,29,23,22,19,17,69,55,37,1007,1006,1004,8,6,4,23,11,,0.00,4,,280
2002-4-17,38,30,22,22,19,15,69,52,37,1008,1006,1004,8,7,3,19,5,,0.00,1,,244
2002-4-18,40,32,25,23,19,16,58,46,37,1007,1005,1003,8,7,4,26,11,,0.00,0,,295
2002-4-19,41,32,23,19,14,6,65,38,12,1006,1005,1003,8,7,5,24,8,,0.00,0,,271
2002-4-20,42,32,22,17,14,9,57,35,14,1008,1006,1004,8,7,4,14,2,,0.00,0,,219
2002-4-21,42,33,24,18,14,11,53,34,16,1005,1003,1000,8,6,4,21,3,,0.00,0,,269
2002-4-22,42,33,25,19,16,13,61,36,20,1003,1001,999,10,7,4,23,6,,0.00,0,,334
2002-4-23,42,33,26,20,17,14,51,40,25,1003,1001,998,7,6,3,27,10,,0.00,4,,348
2002-4-24,37,29,22,25,20,15,88,53,42,1004,1001,999,8,5,3,40,24,,0.00,4,Rain-Thunderstorm,52
2002-4-25,30,25,20,18,16,12,88,64,33,1006,1003,1000,10,7,4,37,19,,0.00,3,Rain-Thunderstorm,12
2002-4-26,35,26,17,16,13,3,88,50,18,1008,1006,1005,8,7,4,19,3,,0.00,0,,282
2002-4-27,37,29,21,16,12,9,61,37,19,1006,1003,1000,8,7,4,10,3,,0.00,1,,76
2002-4-28,36,30,24,14,11,6,47,33,18,1002,1001,1000,8,7,4,32,10,,0.00,2,,303
2002-4-29,36,28,20,13,8,4,49,28,16,1005,1003,1002,8,8,7,27,8,,0.00,1,,284
2002-4-30,38,30,22,15,11,5,50,32,17,1004,1002,1001,8,6,3,16,3,,0.00,3,,359
<!-- 0.185:0 -->
