
PKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2008-7-1,35,30,26,25,22,4,89,64,20,1002,1000,998,5,4,4,11,5,,0.00,2,,152
2008-7-2,38,32,27,25,23,22,84,60,42,1001,999,996,5,5,4,14,6,,0.00,1,,184
2008-7-3,39,34,29,27,24,22,84,60,37,998,997,995,5,5,4,14,10,,0.00,1,,133
2008-7-4,34,31,29,27,25,22,84,71,55,999,997,995,4,4,3,24,13,,0.00,2,,102
2008-7-5,38,33,28,26,25,22,89,70,39,998,996,995,4,4,4,21,10,,0.00,3,Thunderstorm,118
2008-7-6,34,31,28,26,25,24,84,71,56,999,998,995,4,4,3,24,13,,0.00,4,,104
2008-7-7,33,30,27,25,24,22,84,70,52,1001,999,997,5,4,4,23,13,,0.00,4,Thunderstorm,98
2008-7-8,36,31,27,25,23,21,84,64,44,1000,998,996,5,5,4,14,8,,0.00,3,,113
2008-7-9,35,30,25,25,23,21,89,69,52,1003,1001,999,5,4,3,26,11,,0.00,4,Rain-Thunderstorm,95
2008-7-10,35,30,26,24,23,22,89,71,47,1004,1002,999,6,5,4,10,5,,0.00,4,Thunderstorm,82
2008-7-11,36,32,28,25,24,21,84,68,44,1001,999,996,5,5,4,27,6,,0.00,3,Rain-Thunderstorm,134
2008-7-12,29,26,22,24,22,20,94,81,70,1000,998,995,6,4,1,39,13,,0.00,5,Rain-Thunderstorm,70
2008-7-13,32,28,25,25,24,22,94,82,66,1000,999,998,6,5,1,16,8,,0.00,4,Rain-Thunderstorm,112
2008-7-14,33,28,24,25,23,21,89,74,59,1002,1001,999,5,5,4,21,6,,0.00,3,Rain-Thunderstorm,116
2008-7-15,35,29,24,25,23,21,100,70,52,1001,999,996,6,5,2,23,5,,0.00,2,Rain-Thunderstorm,147
2008-7-16,35,31,27,27,26,24,89,76,59,999,997,995,5,4,4,14,10,,0.00,3,Rain-Thunderstorm,122
2008-7-17,37,32,28,27,24,22,89,65,44,999,997,996,4,4,4,16,6,,0.00,2,,199
2008-7-18,38,33,28,27,24,21,84,62,39,1000,999,997,4,4,4,13,8,,0.00,1,,179
2008-7-19,35,31,28,26,24,22,84,68,56,1000,999,997,5,5,4,16,10,,0.00,2,,105
2008-7-20,33,29,26,26,24,21,84,73,59,1002,1000,998,5,4,1,37,11,,0.00,3,Rain,89
2008-7-21,32,28,25,25,23,21,84,77,62,1003,1001,999,6,5,4,19,8,,0.00,4,Rain-Thunderstorm,123
2008-7-22,36,30,25,25,23,21,94,69,44,1001,999,996,5,4,3,10,3,,0.00,3,,196
2008-7-23,37,32,28,26,24,22,89,62,42,1000,998,997,5,5,4,19,6,,0.00,2,,226
2008-7-24,37,32,28,25,22,20,79,55,37,1000,998,996,6,5,4,19,8,,0.00,1,,241
2008-7-25,38,33,28,25,22,19,84,55,33,998,996,993,5,5,4,14,6,,0.00,1,,215
2008-7-26,38,33,28,26,23,21,84,60,37,999,997,995,5,4,4,23,6,,0.00,1,,335
2008-7-27,36,32,28,27,24,23,89,68,50,1001,999,997,5,4,4,19,8,,0.00,1,,120
2008-7-28,35,31,27,25,24,22,89,71,49,1002,1000,997,6,4,4,16,11,,0.00,2,,113
2008-7-29,36,31,27,25,24,23,89,68,47,1001,1000,997,5,5,4,16,6,,0.00,2,,103
2008-7-30,36,31,26,26,25,23,89,76,52,1000,999,996,6,5,1,26,10,,0.00,3,Rain-Thunderstorm,136
2008-7-31,28,27,25,26,24,22,94,85,74,1003,1000,998,5,5,3,26,14,,0.00,6,Rain-Thunderstorm,102
<!-- 0.207:0 -->
