PKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2009-10-1,24,20,17,17,12,8,63,53,41,,,,10.0,7.0,4.0,0,0,,0.0,,,-1
2009-10-2,24,20,17,17,15,13,74,65,58,,,,10.0,7.0,4.0,0,0,,0.0,,,-1
2009-10-3,20,18,17,17,15,13,78,71,58,,,,10.0,5.5,4.0,0,0,,13.0,,,-1
2009-10-4,17,13,12,9,8,7,76,62,47,,,,10.0,7.6,0.5,17,10,,1.0,8,Rain,-1
2009-10-5,21,18,13,14,10,7,72,57,43,,,,10.0,7.0,4.0,9,2,,0.0,,,-1
2009-10-6,21,16,13,14,10,7,62,55,48,,,,10.0,7.0,4.0,0,0,,0.0,,,-1
2009-10-7,21,16,12,11,8,7,62,50,37,,,,10.0,7.0,4.0,6,1,,0.0,,,-1
2009-10-8,21,18,13,11,9,7,62,51,39,,,,10.0,7.0,4.0,9,2,,1.0,,,-1
2009-10-9,22,16,11,8,6,4,57,45,33,,,,10.0,7.0,4.0,6,3,,0.0,8,,-1
2009-10-10,21,16,13,7,5,3,40,36,31,,,,10.0,7.0,4.0,6,4,,0.0,,,-1
2009-10-11,21,17,13,7,5,2,40,35,28,,,,10.0,7.0,4.0,6,3,,0.0,,,-1
2009-10-12,21,17,13,8,5,0,44,36,28,,,,10.0,7.0,4.0,9,5,,0.0,,,-1
2009-10-13,21,16,12,10,7,4,50,45,38,,,,10.0,7.0,4.0,6,1,,0.0,,,-1
2009-10-14,20,16,12,8,7,6,56,46,34,,,,10.0,7.0,4.0,6,1,,0.0,,Thunderstorm,-1
2009-10-15,21,16,13,5,3,2,39,34,27,,,,10.0,7.0,4.0,17,10,,0.0,,,-1
2009-10-16,21,16,12,6,3,-1,37,32,27,,,,10.0,7.0,4.0,6,4,,0.0,,,-1
2009-10-17,20,16,12,8,5,2,45,39,36,,,,10.0,7.0,4.0,6,4,,0.0,,,-1
2009-10-18,18,15,10,6,3,2,56,42,35,,,,10.0,7.0,4.0,9,2,,0.0,,,-1
2009-10-19,18,12,10,5,4,3,56,45,33,,,,10.0,7.0,4.0,6,3,,0.0,,,-1
2009-10-20,19,15,11,9,5,2,45,42,40,,,,10.0,5.5,4.0,6,1,,0.0,,,-1
2009-10-21,19,20,12,9,5,2,41,36,21,1016,1016.00,1016,10.0,5.5,4.0,0,0,,0.0,,,-1
2009-10-22,18,14,11,7,5,3,57,47,39,,,,10.0,7.0,4.0,9,2,,0.0,,,-1
2009-10-23,18,14,12,6,4,2,41,40,36,,,,10.0,7.0,4.0,0,0,,0.0,,,-1
2009-10-24,18,14,10,7,4,3,56,44,37,,,,10.0,7.0,4.0,9,2,,0.0,8,,-1
2009-10-25,18,14,10,9,4,2,49,47,44,,,,10.0,7.0,4.0,6,1,,0.0,,,-1
2009-10-26,19,14,10,8,5,2,52,45,40,,,,10.0,7.0,4.0,9,5,,0.0,,,-1
2009-10-27,19,14,10,10,6,2,52,48,40,,,,10.0,7.0,4.0,0,0,,0.0,,,-1
2009-10-28,16,11,10,8,5,3,52,51,51,,,,10.0,6.0,4.0,4,2,,0.0,,,-1
2009-10-29,,,,,,,,,,,,,,,,,,,,,,
2009-10-30,,,,,,,,,,,,,,,,,,,,,,
2009-10-31,,,,,,,,,,,,,,,,,,,,,,
